,job_no,roles,companies,locations,experience,salaries,skills
285,286,data scientist,indusind bank,chennai,3-8 yrs,not disclosed,"risk analytics,commercial vehicle loans,machine learning,python,predictive modeling,data science,marketing analytics,sql"
286,287,data science lead,beechi vidya kendra trust,"hyderabad, ahmedabad",3-5 yrs,not disclosed,"it services,data science,web application,machine learning,agile,scrum,sow,open source"
287,288,data scientist,upsteer,hyderabad,2-6 yrs,not disclosed,data scientist
288,289,data scientist,ispatial techno solutions pvt ltd.,hyderabad,4-10 yrs,not disclosed,"c++,ms sql,data modeling,mysql,olap,oracle,business intelligence,middleware"
289,290,junior data scientist,soothsayer analytics,hyderabad,1-6 yrs,not disclosed,"computer science,prototype,analytical,machine learning,perl,open source,ruby,analytics"
290,291,senior data scientist,innovaccer,noida,3-4 yrs,not disclosed,"analytical,artificial intelligence,machine learning,healthcare,genetics,life sciences,continuous improvement,analytics"
291,292,data scientist,venturewise pvt ltd.,hyderabad,2-5 yrs,not disclosed,data scientist
292,293,gen ai -data scientist,xoriant,hybrid - pune,5-9 yrs,not disclosed,"open ai,generative ai,natural language processing,llm,python,processing,data,languages"
293,294,lead data scientist,birlasoft,hybrid - pune,8-10 yrs,not disclosed,"data science,natural language processing,machine learning,deep learning,computer vision,azure machine learning,python,science"
294,295,ai developer,collabera,"mumbai, mumbai suburban, mumbai (all areas)",5-10 yrs,not disclosed,"azure,llm,devops,python,microsoft azure,development,artificial intelligence"
295,296,data scientst,pivot human capital,mumbai,5-6 yrs,not disclosed,"computer science,data analysis,wealth management,data science,data modeling,hypothesis testing,data visualization,analytics"
296,297,data scientist,client of connexion group,hyderabad,6-11 yrs,25-35 lacs pa,"data science,cloud sql,bigquery,data analytics,performance tuning,query writing,science,query"
297,298,data science engineer,thurs tech,hyderabad,3-5 yrs,20-30 lacs pa,"data science,tensorflow,machine learning,python,machine,science,data"
298,299,principal data scientist,pega,bengaluru,6-11 yrs,not disclosed,"python,gen ai,java,chatgpt,agents. code interpreter,rag,embedding models,machine learning"
299,300,data scientist,ericsson,noida,5-15 yrs,not disclosed,"text mining,web analytics,architecture,data science,neural networks,big data analytics,artificial intelligence,machine learning"
300,301,data scientist,adidas,gurugram,4-9 yrs,not disclosed,"data analysis,image processing,coding,analytical,social media,econometrics,operations,analytics"
301,302,"senior engineer, data scientist","wood group pratt & whitney industrial turbine services, llc",bengaluru,5-10 yrs,not disclosed,"c#,matlab,master data,python,c++,data processing,power bi,dbms"
302,303,data architecture and modeling,tata consultancy services (tcs),"indore, nagpur",7-11 yrs,not disclosed,"database design,snowflake db,data architecture,data modeling,etl,informatica,talend,db"
303,304,experienced data scientist,volvo financial services,bengaluru,3-8 yrs,not disclosed,"powertrain,automation,c++,mechatronics,simulation,construction equipment,engineering manager,simulink"
304,305,data scientist ii,honeywell,bengaluru,3-5 yrs,not disclosed,"nosql,machine learning,hypothesis testing,natural language processing,stakeholder management,operations,analytics,sql"
305,306,data scientist rwe,novo nordisk,bengaluru,6-11 yrs,not disclosed,"medical affairs,data analysis,claims,sas,analytical,project management,healthcare,life sciences"
306,307,data scientist,adani group,ahmedabad,2-5 yrs,not disclosed,"algorithms,applied mathematics,python,analytical,scala,probability,data mining,neural networks"
307,308,lead data scientist,honeywell,bengaluru,7-9 yrs,not disclosed,"computer science,automation,enterprise architecture,machine learning,workflow,information management,open source,analytics"
308,309,data scientist,ericsson,noida,5-7 yrs,not disclosed,"text mining,architecture,web analytics,gcp,neural networks,artificial intelligence,machine learning,forecasting"
309,310,"data scientist - python, sql- gurgoan phase - iii",team plus staffing solution,gurugram(sector-3a gurgaon),5-10 yrs,10-20 lacs pa,"data science,cloud,ml,sql,python,data scientist,azur,deep learning"
310,311,data scientist,nokia,noida,5-9 yrs,not disclosed,"telecom,data analysis,analytical,machine learning,data collection,microsoft azure,natural language processing,business intelligence"
311,312,data scientist ii,honeywell,"greater noida, bengaluru",4-6 yrs,not disclosed,"analytical skills,electrical engineering,system architecture,analytical,focus,performance analyst,performance analysis,scientist ii"
312,313,data scientist,siemens,gurugram,2-6 yrs,not disclosed,"data analysis,statistical analysis,data science,machine learning,siemens,programming,model development,statistics"
313,314,data scientist - machine learning,rpa infotech,gurugram,2-7 yrs,not disclosed,"computer science,operations research,data science,bfsi,network analysis,machine learning,social networking,natural language processing"
314,315,data scientist,infimetrics info solutions,remote,3-8 yrs,not disclosed,"hive,data analysis,excel,data science,spark,machine learning,php,html"
315,316,junior data scientist,adidas,gurugram,1-6 yrs,not disclosed,"business administration,data analysis,data modeling,analytical,brand marketing,machine learning,data visualization,analytics"
316,317,data scientist,orange business services,gurugram,2-7 yrs,not disclosed,"deep learning,c++,automation,machine learning,scala,predictive modeling,technical support,monitoring"
317,318,data scientist,times internet,noida,3-8 yrs,not disclosed,"computer science,deep learning,spark,machine learning,hadoop,programming,manager technology,big data"
318,319,manager- ml ops,adidas,gurugram,4-9 yrs,not disclosed,"computer science,microstrategy,automation,consulting,machine learning,agile,data quality,monitoring"
319,320,data scientist,nestle,gurugram,2-4 yrs,not disclosed,"machine learning,data collection,data visualization,data,collections,machine"
320,321,data scientist,xebia academy global,remote,8-10 yrs,not disclosed,"mining,text mining,logistic regression,machine learning,data mining,open source,continuous improvement,forecasting"
321,322,agile coach,xebia academy global,remote,8-10 yrs,not disclosed,"mining,text mining,logistic regression,machine learning,data mining,open source,continuous improvement,forecasting"
322,323,agile (safe) coach,xebia academy global,remote,8-10 yrs,not disclosed,"mining,text mining,logistic regression,machine learning,agile,data mining,open source,forecasting"
